Typ,Nr,Namn,Address1,Address2,Address3,Address4,Address5,Telefon,ButiksTyp,Tjanster,SokOrd,Oppettider,RT90x,RT90y
Ombud,058019-90A,Ica Nära Ljungsbro,Vallbytorpsvägen 1,,590 73,LJUNGSBRO,Östergötlands län,013-639 00,,,ÖSTERGÖTLAND;LINKÖPING,,6485727,1482362
Ombud,058109-91C,Ica Supermarket Skärblacka,Skogsängsvägen 13,,617 32,SKÄRBLACKA,Östergötlands län,011-571 94,,,Östergötalands län;Norrköping;Östergötland,,6494703.937,1507710.323
Ombud,058112-91C,Ica nära Norsholm,Norsholmsvägen 24,,617 92,NORSHOLM,Östergötlands län,011-540 55,,,Norrköping;Östergötaland,,6487089.844,1509751.585
Ombud,058115-90A,Coop Krokek,Sjöviksvägen 78,,618 30,KOLMÅRDEN,Östergötlands län,107414700,,,ÖSTERGÖTLAND;BRÅVIKEN;NORRKÖPING,,6505946,1532428
Ombud,058125-90A,ICA Supermarket Östra Husby,Bygdevägen 7,,610 24,VIKBOLANDET,Östergötlands län,0125-242 00,,,ÖSTERGÖTLAND;BRÅVIKEN;NORRKÖPING,,6495094,1544355
Ombud,058208-91A,Sankt Anna Handel AB,"Lagnö, Norra Finnö",,614 98,ST ANNA,Östergötlands län,0121-510 95,,,ÖSTERGÖTLAND:SÖDERKÖPING,,6471218.705,1558172.479
Ombud,058305-91A,Östensons Livs Borensberg,Hällsätersleden 3,,590 31,BORENSBERG,Östergötlands län,0141-20 91 80,,,ÖSTERGÖTLAND; MOTALA,,6493410,1469246
Ombud,058309-90A,ICA Nära Fornåsa,Industrigatan 2,,590 33,FORNÅSA,Östergötlands län,0141-703 27,,,ÖSTERGÖTLAND;MOTALA,,6484060,1466199
Ombud,058322-90B,Ica Nära Tjällmo,Länsvägen 60,,590 34,TJÄLLMO,Östergötlands län,0141-600 06,,,Östergötaland;Motala,,6510358.616,1474096.847
Ombud,058603-91B,Östensson Skänninge,Mjölbygatan 32.,,596 34,Skänninge,Östergötlands län,0142-299860,,,,,6474055.257,1458088.193
Ombud,058614-91B,Önnebo Lanthandel,Dalhem,,595 91,MJÖLBY,Östergötlands län,0142-240 12,,,ÖSTERGÖTLAND;MJÖLBY,,6456488,1469071
Ombud,064203-90E,Handlarn i Brandstorp,Kyrkliden 2 A,,566 93,BRANDSTORP,Jönköpings län,0502-500 07,,,,,6442607.017,1405631.09
Ombud,066209-91C,Coop Smålandsstenar,Malmgatan 12,,333 31,SMÅLANDSSTENAR,Jönköpings län,0371-305 35,,,SMÅLAND;GISSLAVED,,6340095.968,1355326.956
Ombud,066210-90B,Ica Nära Danielssons Burseryd,Storgatan 1,,333 77,BURSERYD,Jönköpings län,0371-500 02,,,,,6344771.08,1347689.037
Ombud,066216-90B,Matglädjen Tempo,Torget,,333 75,REFTELE,Jönköpings län,0371-200 24,,,SMÅLAND;JÖNKÖPING;GISSLAVED,,6340836.505,1366265.549
Ombud,066501-91B,Ica Supermarket Vaggeryd,Järnvägsgatan 2,,567 30,VAGGERYD,Jönköpings län,0393-360 62,,,Småland;Jönköpings län,,6376049.516,1400692.259
Ombud,068009-90B,Coop Nära Visingsö,Norrbovägen 5,,560 34,VISINGSÖ,Jönköpings län,0390-400 32,,,Gränna;Jönköping;Jönköpings län,,6436679.013,1413369.992
Ombud,068024-90A,Coop Konsum Unnaryd,Bolmenvägen 2,,310 83,UNNARYD,Hallands län,0371-600 01,,,SMÅLAND;HYLTEBRUK,,6316514,1361597
Ombud,068207-91A,Coop Konsum Forserum,Jönköpingsvägen 2,,571 78,FORSERUM,Jönköpings län,0380-200 06,,,Småland;Jönköpings län,,6397987.615,1420680.006
